#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
71;J0111-7131;mfl+06;0.68854151164;5.0e-11;mfl+06;7.092E-15;4.0e-18;mfl+06;1.45234525892;1.1e-10;mfl+06;-1.4959E-14;9.0e-18;mfl+06;1.54e+06;2.24e+12;8.6e+32;
72;J0113-7220;ckm+01;0.32588301613;1.0e-11;ckm+01;4.8590E-15;1.5e-18;ckm+01;3.06858581302;1.0e-10;ckm+01;-4.5753E-14;1.5e-17;ckm+01;1.06e+06;1.27e+12;5.5e+33;
73;J0115+6325;scb+19;0.521455427473;5.0e-12;mbc+20;1.599E-15;3.0e-18;mbc+20;1.917709448046;1.9e-11;mbc+20;-5.880E-15;1.2e-17;mbc+20;5.17e+06;9.24e+11;4.5e+32;
74;B0114+58;stwd85;0.1014390664824;2.0e-12;hlk+04;5.849955E-15;1.7e-20;hlk+04;9.85813488508;1.9e-10;hlk+04;-5.685151E-13;1.6e-18;hlk+04;2.75e+05;7.8e+11;2.2e+35;
75;J0122+1416;ttk+17;1.38899395038;2.0e-11;mbc+20;3.803E-15;1.0e-18;mbc+20;0.719945540243;1.1e-11;mbc+20;-1.9712E-15;6.0e-19;mbc+20;5.79e+06;2.33e+12;5.6e+31;
76;J0125-23;mbc+19;0.00367586;0;mbc+19;*;0;*;272.045181;0;mbc+19;*;0;*;*;*;*;
77;J0125+62;slr+14;1.708233;9.8e-05;slr+14;*;0;*;0.58540;4.0e-05;slr+14;*;0;*;*;*;*;
78;J0131-7310;mfl+06;0.348124045581;7.0e-12;mfl+06;1.7614E-15;7.0e-19;mfl+06;2.87253929366;6.0e-11;mfl+06;-1.4534E-14;6.0e-18;mfl+06;3.13e+06;7.92e+11;1.6e+33;
79;J0133-6957;lml+98;0.463473741703;3.0e-12;dsb+98;1.200E-16;2.0e-19;dsb+98;2.157619537033;1.4e-11;dsb+98;-5.586E-16;1.0e-18;dsb+98;6.12e+07;2.39e+11;4.8e+31;
80;J0134-2937;mld+96;0.136961610513651;1.4e-14;lwy+16;7.83699E-17;3.0e-22;lwy+16;7.3013160129300;7.0e-13;lwy+16;-0.4177838E-14;1.4e-20;lwy+16;2.77e+07;1.05e+11;1.2e+33;
81;J0137+1654;lxf+05;0.4147630265082;5.0e-13;lxf+05;0.01223E-15;3.0e-20;lxf+05;2.411015293284;3.0e-12;lxf+05;-7.109E-17;1.8e-19;lxf+05;5.37e+08;7.21e+10;6.8e+30;
82;J0137+6349;slr+14;0.717962726847;6.0e-12;lsk+18;9.60E-16;5.0e-18;lsk+18;1.39282996541;1.0e-11;lsk+18;-1.862E-15;9.0e-18;lsk+18;1.19e+07;8.4e+11;1.0e+32;
83;J0139+3336;ttm+18;1.2479609557;1.0e-10;mbc+20;2.064E-15;8.0e-18;mbc+20;0.80130712057;7.0e-11;mbc+20;-1.325E-15;6.0e-18;mbc+20;9.58e+06;1.62e+12;4.2e+31;
84;J0139+5621;cvh+14;1.77534382596;1.0e-10;cvh+14;7.9096E-14;3.0e-18;cvh+14;0.56327117338;3.0e-11;cvh+14;-2.50951E-14;8.0e-19;cvh+14;3.56e+05;1.2e+13;5.6e+32;
